"sex","age","hab","prov","ccaa","edu","cs","p1_1","p1_2","p1_3","p1_4","p1_5","p1_6","p1_7","p1_8","p1_9","p1_10","p2_1","p2_2","p2_3","p3_1","p3_2","p3_3","p3_4","p3_5","p3_6","p4_1","p4_2","p4_3","p4_4","p4_5","p4_6","p4_7","p4_8","p4_9","p5_1","p5_2","p5_3","p5_4","p5_5","p5_6","p5_7","p5_8","p5_9","p5_10","p5_11","p5_12","p6","p7","p8","p9","label"
1,6,1,46,10,4,4,4,3,4,3,3,2,2,1,2,2,4,4,1,2,2,2,1,1,2,3,3,2,4,3,1,1,2,2,2,2,2,2,3,2,2,2,3,3,3,3,10,5,5,2,3
2,6,6,28,13,5,7,5,5,5,5,5,5,4,3,5,5,5,5,4,3,3,4,4,3,4,4,4,3,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,4
2,6,2,33,3,6,7,3,3,4,5,3,4,3,1,3,3,3,3,3,2,2,2,2,2,2,4,4,2,2,2,2,1,2,2,5,5,5,5,4,5,5,5,3,5,3,5,10,18,15,1,4
1,6,5,7,4,5,4,4,3,3,1,2,2,1,1,1,3,1,1,4,2,2,2,2,2,2,3,3,2,1,2,2,2,4,1,5,2,6,2,6,5,2,5,2,2,5,5,10,18,16,2,3
2,1,4,28,13,7,1,3,4,5,5,5,5,4,4,4,4,5,4,5,2,3,3,3,2,2,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,10,19,6,20,1
2,6,5,20,16,3,6,4,4,4,4,5,5,5,4,5,5,4,5,5,3,5,3,3,3,4,3,3,2,3,3,2,5,2,5,1,6,1,1,1,1,6,1,1,1,1,1,2,17,1,18,1
1,6,4,11,1,6,4,5,5,5,1,3,1,6,1,6,4,1,2,4,2,1,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,17,5,18,1
1,3,6,41,1,4,5,5,4,4,5,4,3,3,1,5,4,3,4,3,3,2,3,3,2,3,3,3,2,2,2,3,2,3,2,1,5,6,1,5,5,5,1,5,5,5,5,10,1,1,1,4
2,2,6,28,13,4,3,5,5,5,5,4,5,5,2,5,5,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,0,17,15,18,1
1,3,3,28,13,2,4,4,1,1,4,1,1,2,1,3,4,1,4,1,4,4,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,2,5,2,5,2,2,10,2,2,2,3
2,4,6,50,2,3,7,4,6,3,5,2,5,3,1,2,4,3,1,6,1,3,5,2,4,3,4,4,5,1,1,2,3,4,3,1,4,3,5,1,2,6,2,6,3,5,4,8,6,10,3,2
1,6,3,46,10,4,4,4,3,3,2,6,3,1,1,2,1,4,3,3,2,2,1,1,1,2,2,4,2,2,2,1,1,2,4,6,3,3,3,3,6,6,3,3,3,3,3,10,5,5,5,6
2,2,5,18,1,4,3,5,4,4,5,4,5,4,1,4,3,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,4
1,6,6,46,10,4,4,4,1,1,4,4,3,4,1,4,1,5,5,5,1,2,2,2,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,2,2,10,5,5,2,3
2,2,2,18,1,7,6,5,5,5,5,5,5,5,4,4,5,5,5,5,3,3,3,4,3,4,3,5,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,5
2,4,3,28,13,4,4,3,3,4,4,3,4,2,1,2,3,4,3,2,2,2,2,1,1,2,4,4,1,2,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,6,2,3,3,2
2,4,6,28,13,5,1,5,5,5,5,5,5,3,3,5,5,5,5,3,1,2,3,3,2,3,3,3,2,2,2,2,2,3,2,1,1,5,1,4,1,1,1,1,1,4,1,10,1,1,4,5
1,4,5,38,5,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,10,5,5,2,3
1,3,3,31,15,5,2,5,5,5,5,5,4,5,4,5,5,5,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,10,2,1,1,4
2,2,5,8,9,6,1,2,2,3,3,3,4,3,3,3,3,2,3,3,2,2,3,5,2,5,4,4,2,1,3,1,2,3,1,2,2,4,4,2,4,4,4,2,4,2,2,8,2,2,2,3
2,4,5,35,5,3,4,4,2,4,2,3,2,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,4,3,1,6,6,6,1,6,1,6,6,6,6,6,8,4,17,19,1
2,2,4,29,1,4,5,2,3,4,5,3,4,6,6,2,2,1,4,2,5,5,5,5,5,5,3,2,1,3,3,1,2,2,2,6,5,5,5,5,6,6,6,6,5,5,5,99,18,17,18,1
1,4,4,46,10,4,1,2,3,4,1,3,2,2,1,1,3,1,3,2,1,1,1,1,1,2,3,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,3,2,5,2,10,2,2,2,3
1,2,1,43,9,5,2,5,4,5,5,2,5,5,5,3,5,4,4,3,2,3,2,3,2,2,4,4,2,2,2,2,2,2,2,1,1,1,1,5,5,5,1,1,1,1,1,10,1,1,1,4
1,2,1,18,1,4,1,3,1,3,3,1,2,2,1,2,2,1,4,3,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,3,3,2,2,3,3,2,3,3,2,3,3,10,5,5,5,6
1,5,4,45,8,4,1,5,5,5,5,5,5,5,3,5,6,5,5,3,3,4,3,4,3,5,2,5,4,4,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1,6,1,1,18,1
2,2,6,46,10,6,5,1,3,5,5,3,2,2,1,3,3,2,1,3,4,1,2,1,1,1,4,2,3,2,2,2,2,2,2,5,5,5,5,4,5,5,6,5,5,5,5,10,15,15,4,5
2,3,1,40,7,4,5,1,2,3,5,1,3,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,10,12,15,2,3
2,6,6,28,13,4,1,3,4,4,5,3,4,4,4,3,3,3,4,5,2,3,2,2,2,2,3,3,2,2,3,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,18,1
2,6,6,50,2,4,5,3,4,4,4,6,4,3,2,4,2,4,3,3,1,2,2,2,1,1,4,4,2,2,2,2,2,1,2,6,6,5,5,6,5,6,5,5,6,6,6,10,18,15,3,2
1,6,6,8,9,6,2,4,3,5,4,4,4,3,1,3,5,1,3,1,2,3,2,2,2,1,3,3,2,2,2,1,1,2,2,2,2,5,2,2,5,2,5,5,2,5,2,10,2,2,2,3
2,5,3,38,5,3,6,5,3,5,3,4,4,5,3,5,4,2,5,4,3,3,3,3,3,3,5,5,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,4
2,3,3,30,14,4,5,4,1,3,4,3,3,2,1,4,3,4,3,4,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,8,2,2,5,6
1,4,1,26,17,4,4,5,4,5,4,3,3,5,1,4,1,4,4,2,2,2,3,2,2,3,2,2,1,2,3,2,2,2,2,5,2,2,2,5,1,2,1,1,2,5,3,7,18,16,4,5
2,5,3,28,13,4,3,4,4,5,5,4,5,1,1,3,4,5,4,1,1,2,3,2,2,2,3,3,2,1,3,2,1,2,1,1,2,1,5,1,1,5,1,5,5,1,2,10,1,1,1,4
1,3,3,21,1,4,4,3,1,1,5,1,3,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,0,17,15,18,1
1,3,1,36,12,3,4,5,3,3,4,4,3,4,1,2,1,2,4,4,1,1,2,1,1,1,4,3,1,1,2,1,2,1,1,6,3,6,2,5,5,2,5,3,5,2,3,10,5,5,2,3
2,3,4,10,11,5,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,10,2,5,2,3
1,5,3,20,16,7,4,5,5,5,5,5,5,5,4,5,5,2,4,2,3,3,2,3,2,2,4,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,5
2,4,1,31,15,4,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,6,2,2,2,2,2,2,2,2,2,2,2,4,18,16,2,3
2,2,1,8,9,6,2,1,2,3,4,1,3,2,1,1,1,5,4,5,1,1,1,1,1,1,4,4,1,1,3,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,16,4,4,5
1,4,5,8,9,3,7,3,3,5,2,2,2,1,1,1,2,3,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,99,17,15,18,1
1,6,6,8,9,4,4,4,4,3,5,4,5,3,5,5,4,2,2,2,1,4,1,1,1,1,3,4,2,1,1,2,2,1,1,5,4,4,4,4,4,4,4,5,4,4,4,10,4,4,4,5
1,3,6,41,1,5,2,5,5,5,5,5,5,5,3,5,5,5,4,3,3,3,3,3,2,3,4,4,2,3,2,1,2,1,2,1,5,4,2,4,4,4,4,1,4,2,4,9,4,4,4,5
1,6,6,28,13,6,4,3,4,3,1,2,2,2,1,2,2,1,3,2,2,2,2,1,1,1,3,5,2,2,1,1,2,2,1,3,6,3,3,5,5,3,3,3,5,5,3,10,5,5,5,6
1,6,4,29,1,3,6,4,4,5,5,4,4,6,3,4,4,4,5,3,3,3,3,3,3,3,5,5,3,3,3,5,2,3,2,6,2,6,6,1,4,6,4,1,1,5,1,10,1,1,3,2
2,4,4,13,8,6,4,2,2,2,5,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,6,5,3,18,15,18,1
1,6,6,41,1,5,3,2,4,2,1,6,6,1,1,1,2,1,5,1,1,1,1,1,1,1,4,4,2,2,1,1,1,2,1,2,3,2,2,2,2,2,5,2,2,2,2,10,2,2,18,1
1,1,3,12,10,7,1,4,2,6,4,4,4,3,1,2,2,1,3,3,1,1,2,1,1,2,2,2,2,4,2,2,2,2,2,6,3,5,3,5,4,5,5,3,2,5,5,7,5,2,18,1
1,4,1,34,7,5,2,2,3,2,3,3,4,2,2,4,3,4,4,2,2,2,3,2,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,4,1,2,4,2,2,1,2,8,2,3,2,3
2,6,2,43,9,4,2,4,4,3,1,3,2,2,1,2,3,3,3,2,1,2,2,1,1,1,3,3,2,2,2,1,2,2,2,5,2,2,2,6,5,2,6,5,5,2,2,10,18,2,2,3
2,5,2,14,1,4,6,2,3,1,2,6,6,6,1,6,2,1,1,2,3,1,2,2,1,1,2,3,1,1,1,2,1,1,3,6,2,5,2,2,2,2,2,3,5,5,5,1,18,16,18,1
2,5,3,43,9,4,6,1,5,2,5,4,5,1,1,1,1,4,5,4,2,2,2,2,2,2,4,4,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,9,3,3,18,1
2,1,1,28,13,6,2,3,3,4,3,2,3,2,2,3,1,4,5,3,2,3,3,3,2,3,3,3,3,3,2,2,2,2,1,1,2,1,1,4,4,2,4,5,4,2,1,10,6,4,4,5
1,2,6,8,9,6,2,4,5,3,5,4,3,3,4,5,3,3,4,3,3,3,3,3,2,2,2,1,3,4,3,3,2,3,2,1,1,4,1,1,4,1,4,4,1,4,1,9,1,6,1,4
2,3,5,28,13,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,4,4,1,4,1,4,4,4,4,1,4,4,7,6,6,4,5
2,5,5,38,5,6,3,3,3,2,3,2,3,3,1,3,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,2,18,2,2,3
1,2,2,30,14,2,4,5,1,3,4,2,5,1,6,1,3,1,5,2,5,3,4,3,2,2,3,3,1,1,2,2,1,3,2,1,1,1,1,1,4,2,1,2,2,1,2,4,1,1,4,5
2,1,1,39,6,4,2,3,4,4,5,5,5,4,4,4,3,5,5,4,2,3,3,3,3,3,3,2,3,2,3,3,3,2,3,2,2,1,2,2,4,6,1,1,2,2,1,10,18,1,1,4
2,5,5,7,4,4,5,4,3,4,4,6,4,6,6,6,6,5,4,6,2,2,5,2,2,2,3,2,2,2,1,3,2,2,2,6,6,6,6,6,5,6,5,5,6,6,6,99,18,16,20,1
2,4,4,22,2,4,4,3,3,4,3,3,3,2,1,3,3,3,4,1,5,5,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,6,5,6,6,6,2,5,2,10,2,2,2,3
2,4,6,28,13,3,7,5,5,5,5,3,5,3,4,5,4,5,5,4,2,3,4,3,2,3,5,5,3,3,2,3,3,4,3,1,2,6,5,1,1,6,1,1,5,6,1,10,1,1,1,4
2,3,2,23,1,4,6,5,5,5,5,4,5,5,4,4,3,5,5,5,2,3,3,2,2,3,5,3,3,3,3,5,2,3,2,5,1,4,5,4,4,5,4,5,5,5,1,10,6,6,4,5
2,5,4,8,9,3,5,5,5,5,4,5,4,5,3,3,5,5,5,4,5,2,3,3,2,2,2,3,2,2,2,2,5,2,2,6,6,4,4,6,3,3,4,3,6,3,6,10,3,1,1,4
2,6,6,28,13,6,1,2,4,4,3,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,5,3,3,2,3,5,3,5,3,3,2,3,0,15,5,1,4
1,2,1,41,1,3,6,5,5,2,3,3,4,6,3,3,3,4,3,6,5,3,3,3,3,2,4,5,2,3,3,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,4
2,3,6,29,1,5,3,3,5,3,4,5,4,2,2,2,4,3,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,6,3,1,3,1,6,6,1,3,1,6,1,10,18,1,1,4
1,3,6,29,1,4,2,5,5,5,5,4,5,5,2,3,3,5,5,4,2,2,2,2,2,2,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,3
1,1,1,32,12,4,7,5,5,3,3,5,5,4,2,4,4,4,4,6,5,3,3,5,2,5,3,3,2,3,2,2,3,3,2,6,1,1,1,6,4,4,4,1,6,1,6,8,1,4,1,4
2,3,2,8,9,4,3,5,5,5,5,6,6,6,6,5,1,3,1,1,5,1,1,1,1,1,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,0,17,15,18,1
1,5,1,2,8,4,4,5,5,5,5,4,5,4,4,5,5,5,5,4,3,3,4,3,3,4,3,3,4,4,4,4,3,3,4,1,1,1,1,4,4,1,4,1,4,1,1,10,4,4,4,5
1,6,3,15,12,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,3,4,3,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,5
1,6,1,46,10,2,4,2,1,4,2,3,4,2,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,3,3,3,3,3,3,3,3,3,99,5,5,5,6
1,3,1,46,10,7,7,5,5,5,4,5,4,4,4,4,3,5,5,4,3,3,4,3,3,2,5,5,3,3,3,2,2,3,3,1,1,1,4,4,1,1,4,1,1,1,1,8,1,4,18,1
2,4,1,41,1,4,4,3,3,4,4,4,4,4,3,3,3,4,4,4,5,3,3,3,3,5,3,3,2,2,2,5,5,2,2,1,1,6,1,1,1,1,1,6,1,1,1,7,18,1,19,1
2,3,3,38,5,6,1,4,4,4,5,4,5,5,4,4,5,4,5,5,3,3,3,4,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,10,5,5,5,6
2,2,4,28,13,4,2,5,3,3,5,4,4,3,3,3,5,5,5,4,3,3,3,3,3,3,2,3,3,3,2,4,3,3,2,1,1,1,5,1,6,1,5,6,5,5,2,9,1,1,1,4
2,5,5,37,7,6,6,4,2,5,3,4,3,3,1,3,3,4,5,2,2,2,3,2,2,2,4,4,2,2,3,1,2,2,2,5,5,5,2,4,5,5,5,5,5,6,5,10,18,3,3,2
2,2,2,35,5,5,7,3,5,3,3,2,3,1,1,3,3,3,4,4,2,1,2,1,1,1,2,4,2,2,1,1,1,2,1,6,3,3,3,3,6,5,5,3,6,5,3,10,5,5,3,2
2,2,3,11,1,4,4,4,3,5,3,4,4,3,3,3,4,4,4,6,5,5,5,5,5,5,4,4,2,3,2,5,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,4
1,5,3,30,14,5,2,5,3,4,1,3,3,1,1,3,4,4,5,3,2,2,2,3,2,2,2,2,3,2,2,2,2,3,2,6,6,6,6,6,6,6,6,6,6,6,6,10,18,17,20,1
2,6,5,28,13,8,2,5,5,5,5,5,4,4,3,4,5,5,5,4,2,3,3,3,3,3,3,3,3,2,2,2,3,2,3,1,2,1,2,1,1,2,1,2,1,2,2,10,18,2,1,4
2,6,3,3,10,4,4,4,3,3,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,2,5,3,2,2,3,3,2,3,1,1,4,4,1,1,1,4,4,4,1,1,10,4,4,4,5
1,4,2,13,8,6,3,3,4,4,4,3,4,1,1,4,3,5,4,1,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,6,2,2,2,1,6,2,1,6,6,1,2,9,3,3,3,2
1,5,3,15,12,4,4,1,1,2,4,2,2,2,2,2,1,4,4,4,2,2,3,2,2,2,3,3,2,2,2,1,2,2,2,5,2,2,5,5,5,2,5,2,5,1,6,10,2,2,3,2
2,6,6,50,2,3,7,3,3,3,3,4,4,3,3,4,3,4,4,4,2,2,3,3,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,5,1,5,1,10,3,3,1,4
1,5,6,8,9,4,4,5,5,5,5,4,3,3,3,5,5,5,5,4,3,2,3,3,3,3,5,2,3,3,3,3,2,4,3,1,1,6,6,1,6,6,1,2,1,1,1,7,1,1,1,4
2,3,1,23,1,4,4,4,3,2,5,5,5,2,1,3,2,5,5,5,4,1,1,1,1,1,4,4,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,3
2,2,1,8,9,8,6,5,6,6,3,5,5,5,5,4,5,5,2,1,5,2,3,4,3,2,3,3,4,4,4,4,4,4,4,3,3,1,6,4,3,2,1,2,4,1,4,9,12,14,2,3
2,3,1,47,7,5,4,3,3,3,3,3,3,2,1,2,2,2,4,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,10,5,5,5,6
2,6,6,8,9,4,4,4,4,4,4,4,4,3,2,3,3,2,3,1,1,2,2,1,1,1,2,2,3,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,7,17,15,3,2
1,4,2,41,1,3,2,4,4,4,2,4,3,4,3,4,3,4,4,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,4
2,6,5,1,16,5,6,5,5,5,5,4,5,4,4,4,3,4,5,4,3,3,3,3,2,3,3,3,3,2,5,2,2,2,5,5,1,1,1,4,5,6,4,1,5,5,1,9,18,1,1,4
2,6,1,50,2,4,2,4,3,3,5,4,4,4,4,6,4,4,3,3,2,2,3,2,2,2,3,3,2,3,3,2,2,2,2,5,5,1,6,1,6,6,1,1,1,6,1,10,6,6,1,4
1,3,5,48,16,4,4,5,3,4,5,6,3,3,4,3,6,3,2,2,3,3,5,3,2,5,3,3,2,2,2,2,2,2,2,5,6,6,6,5,6,6,4,5,6,6,4,1,17,15,18,1
1,4,4,10,11,4,6,2,4,4,3,4,3,1,1,3,3,3,4,2,5,2,2,2,5,2,2,2,3,4,3,1,2,2,5,6,2,6,2,1,6,6,5,3,6,3,6,10,19,14,5,6
2,2,5,43,9,6,2,5,4,5,4,4,4,3,3,5,5,3,5,4,2,3,3,5,3,3,4,2,2,4,2,2,5,3,4,6,6,1,1,1,1,1,1,6,1,1,1,9,18,16,1,4
1,2,3,29,1,4,2,6,2,4,6,6,3,6,3,6,6,1,1,6,2,2,2,2,2,2,3,3,2,1,2,2,5,5,3,6,6,6,6,6,6,6,6,6,6,6,6,1,18,16,19,1
1,3,3,41,1,5,4,4,4,5,5,5,5,5,3,3,3,4,5,3,2,3,3,3,3,3,4,4,2,2,2,2,2,2,2,1,1,1,5,5,1,1,1,1,5,5,5,9,1,1,1,4
2,2,5,12,10,7,3,5,5,4,4,4,5,3,3,5,2,5,4,4,3,3,3,3,2,3,4,4,3,3,2,3,3,2,1,1,1,5,1,1,1,1,1,6,1,5,2,10,1,14,1,4
2,6,6,8,9,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,0,17,17,18,1
2,3,1,29,1,6,2,2,2,3,1,1,2,1,1,2,2,1,4,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,6,2,2,2,2,6,6,2,3,2,3,2,10,2,2,2,3
1,4,5,39,6,5,5,5,5,5,4,6,2,4,3,4,4,5,5,5,3,3,3,3,3,3,3,2,3,3,4,2,2,2,3,1,6,1,1,1,1,6,6,1,6,6,1,10,1,1,1,4
2,6,6,46,10,4,6,3,3,4,4,1,1,3,1,3,3,4,5,4,1,1,1,1,2,2,3,4,2,2,2,2,2,1,1,6,5,6,2,2,6,2,6,2,2,5,2,10,2,2,2,3
2,6,4,48,16,3,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,2,4,3,3,2,2,2,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,5
2,5,5,7,4,5,4,3,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,6,6,6,6,6,6,6,6,6,6,6,6,99,18,2,18,1
2,4,2,8,9,4,2,5,5,5,6,5,6,5,6,3,5,4,3,6,1,1,1,1,1,1,1,4,2,1,1,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,4,19,17,18,1
2,2,6,8,9,3,2,2,2,1,3,3,2,3,3,2,2,3,3,1,2,2,2,2,3,2,3,3,2,3,1,2,3,2,3,4,6,5,6,4,2,2,4,4,4,4,4,6,4,4,1,4
2,4,6,28,13,6,2,3,3,3,4,2,6,2,2,2,2,3,3,2,3,3,2,3,3,2,1,2,3,4,3,2,3,2,3,1,2,6,5,1,5,1,5,2,2,1,5,6,16,15,18,1
1,3,5,15,12,5,3,5,5,5,4,4,5,4,4,4,4,5,5,5,3,3,3,4,3,3,2,2,3,3,3,2,2,3,4,1,1,1,1,4,4,1,4,1,1,1,1,10,1,1,1,4
2,5,2,43,9,4,3,5,5,5,5,4,6,4,6,5,6,4,5,3,2,3,2,3,3,3,3,3,2,2,3,2,3,3,3,1,1,1,1,4,1,1,4,4,5,6,1,10,1,4,4,5
1,6,2,38,5,4,1,4,4,4,3,4,4,2,3,4,2,4,4,4,2,2,3,2,2,2,3,2,2,3,3,2,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,8,2,2,2,3
2,3,6,46,10,4,4,6,6,6,6,6,6,6,3,6,6,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,1,1,1,1,1,1,10,1,1,1,4
2,5,2,46,10,4,4,5,5,5,5,4,5,4,4,5,4,5,5,5,3,3,3,3,3,3,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,4
1,4,6,41,1,6,1,4,4,4,2,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,3
2,5,6,46,10,4,5,2,2,3,2,2,2,2,3,2,2,3,3,3,2,2,2,3,1,2,3,3,2,2,2,2,2,1,2,6,6,6,4,4,6,6,4,6,4,6,4,5,4,4,4,5
2,5,6,8,9,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,2,1,1,1,4
2,4,3,48,16,5,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,18,16,18,1
1,6,6,46,10,6,6,1,3,4,4,1,1,1,1,1,3,4,4,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,2,2,2,5,2,5,5,5,5,3,5,2,3,10,18,15,20,1
2,6,6,8,9,4,5,5,5,5,4,5,4,2,2,5,5,4,5,3,4,2,3,2,2,2,2,3,1,1,2,2,1,2,1,5,5,5,1,1,1,2,1,2,2,5,2,10,2,1,1,4
2,3,1,31,15,3,4,1,3,1,5,5,5,3,4,1,1,2,3,3,1,1,2,1,1,2,4,4,2,3,2,2,3,1,2,5,5,5,5,5,5,5,5,5,5,5,5,4,16,4,4,5
1,5,2,50,2,5,2,1,2,1,2,1,1,3,1,1,1,1,3,1,2,1,2,1,1,1,4,4,1,2,1,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,10,5,5,5,6
1,2,6,28,13,7,6,4,3,4,1,5,3,5,4,5,4,5,4,4,2,3,3,3,2,2,4,2,2,1,1,2,2,4,2,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,18,1
2,2,5,28,13,6,3,5,2,5,5,2,4,3,3,3,2,5,4,3,2,2,3,2,2,2,4,3,2,2,2,1,2,2,1,6,2,6,1,4,4,1,4,6,6,2,6,9,6,6,4,5
1,6,6,28,13,4,5,4,3,1,4,2,2,2,1,6,6,1,5,1,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,5,2,5,5,6,5,6,6,5,5,5,5,0,17,15,3,2
2,5,2,7,4,4,4,1,4,3,3,3,2,2,2,1,1,3,3,3,2,1,2,2,1,1,3,4,1,2,2,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,18,15,4,5
1,6,5,28,13,4,6,3,4,4,2,3,2,3,1,2,3,2,3,2,2,2,2,2,2,2,2,3,2,1,1,1,1,2,1,2,2,2,2,2,5,2,2,3,2,5,3,10,18,16,2,3
1,2,1,45,8,4,4,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,5,3,1,1,1,1,1,1,1,1,1,5,5,1,5,4,5,5,5,5,5,5,5,5,18,16,19,1
2,3,5,8,9,3,6,5,4,5,4,4,3,4,6,6,6,4,2,2,5,5,5,2,1,2,3,3,2,2,2,2,2,2,2,6,3,3,6,3,3,3,3,3,3,3,3,8,5,5,5,6
1,6,2,8,9,6,2,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,3,3,4,4,3,2,3,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,5
2,4,2,30,14,5,2,5,4,1,1,1,3,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,3
2,1,3,30,14,6,1,3,4,3,4,4,4,5,2,4,3,3,4,4,2,2,3,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,4,3,3,2,3,5,11,9,2,3
