Emo,CLDR Short Name,Other Keywords,theme,category,№,Code,sentimiento,confianzaSentimiento
🛢,oil drum,drum | oil,Travel & Places,transport-ground,838,U+1F6E2,POSITIVE,0.9797581434249878
⛽,fuel pump,diesel | fuel | fuelpump | gas | pump | station,Travel & Places,transport-ground,839,U+26FD,POSITIVE,0.9901300072669983
🚨,police car light,beacon | car | light | police | revolving,Travel & Places,transport-ground,840,U+1F6A8,POSITIVE,0.9927143454551697
🚥,horizontal traffic light,horizontal traffic light | light | signal | traffic,Travel & Places,transport-ground,841,U+1F6A5,POSITIVE,0.6130889058113098
🚦,vertical traffic light,light | signal | traffic | vertical traffic light,Travel & Places,transport-ground,842,U+1F6A6,POSITIVE,0.8424580693244934
🛑,stop sign,octagonal | sign | stop,Travel & Places,transport-ground,843,U+1F6D1,NEGATIVE,0.9957554340362549
🚧,construction,barrier | construction,Travel & Places,transport-ground,844,U+1F6A7,NEGATIVE,0.9172452688217163
⚓,anchor,anchor | ship | tool,Travel & Places,transport-water,845,U+2693,POSITIVE,0.9858065247535706
⛵,sailboat,boat | resort | sailboat | sea | yacht,Travel & Places,transport-water,846,U+26F5,POSITIVE,0.9974594712257385
🛶,canoe,boat | canoe,Travel & Places,transport-water,847,U+1F6F6,POSITIVE,0.9110357165336609
🚤,speedboat,boat | speedboat,Travel & Places,transport-water,848,U+1F6A4,POSITIVE,0.8957713842391968
🛳,passenger ship,passenger | ship,Travel & Places,transport-water,849,U+1F6F3,NEGATIVE,0.5892618298530579
⛴,ferry,boat | ferry | passenger,Travel & Places,transport-water,850,U+26F4,POSITIVE,0.6057367324829102
🛥,motor boat,boat | motor boat | motorboat,Travel & Places,transport-water,851,U+1F6E5,POSITIVE,0.9820927381515503
🚢,ship,boat | passenger | ship,Travel & Places,transport-water,852,U+1F6A2,NEGATIVE,0.5512596964836121
✈,airplane,aeroplane | airplane,Travel & Places,transport-air,853,U+2708,POSITIVE,0.886344313621521
🛩,small airplane,aeroplane | airplane | small airplane,Travel & Places,transport-air,854,U+1F6E9,NEGATIVE,0.9668342471122742
🛫,airplane departure,aeroplane | airplane | check-in | departure | departures,Travel & Places,transport-air,855,U+1F6EB,POSITIVE,0.8253048658370972
🛬,airplane arrival,aeroplane | airplane | airplane arrival | arrivals | arriving | landing,Travel & Places,transport-air,856,U+1F6EC,POSITIVE,0.9965163469314575
🪂,parachute,hang-glide | parachute | parasail | skydive,Travel & Places,transport-air,857,U+1FA82,POSITIVE,0.998852014541626
💺,seat,chair | seat,Travel & Places,transport-air,858,U+1F4BA,POSITIVE,0.9208371043205261
🚁,helicopter,helicopter | vehicle,Travel & Places,transport-air,859,U+1F681,POSITIVE,0.6542904376983643
🚟,suspension railway,railway | suspension,Travel & Places,transport-air,860,U+1F69F,NEGATIVE,0.96523118019104
🚠,mountain cableway,cable | gondola | mountain | mountain cableway,Travel & Places,transport-air,861,U+1F6A0,POSITIVE,0.9953354001045227
🚡,aerial tramway,aerial | cable | car | gondola | tramway,Travel & Places,transport-air,862,U+1F6A1,POSITIVE,0.9875745177268982
🛰,satellite,satellite | space,Travel & Places,transport-air,863,U+1F6F0,POSITIVE,0.9991850256919861
🚀,rocket,rocket | space,Travel & Places,transport-air,864,U+1F680,POSITIVE,0.9986703395843506
🛸,flying saucer,flying saucer | UFO,Travel & Places,transport-air,865,U+1F6F8,POSITIVE,0.9395860433578491
🛎,bellhop bell,bell | bellhop | hotel,Travel & Places,hotel,866,U+1F6CE,POSITIVE,0.9944193959236145
🧳,luggage,luggage | packing | travel,Travel & Places,hotel,867,U+1F9F3,POSITIVE,0.9518130421638489
⌛,hourglass done,hourglass done | sand | timer,Travel & Places,time,868,U+231B,NEGATIVE,0.9981740713119507
⏳,hourglass not done,hourglass | hourglass not done | sand | timer,Travel & Places,time,869,U+23F3,NEGATIVE,0.9995483756065369
⌚,watch,clock | watch,Travel & Places,time,870,U+231A,NEGATIVE,0.7312983870506287
⏰,alarm clock,alarm | clock,Travel & Places,time,871,U+23F0,NEGATIVE,0.7208315134048462
⏱,stopwatch,clock | stopwatch,Travel & Places,time,872,U+23F1,NEGATIVE,0.9878013730049133
⏲,timer clock,clock | timer,Travel & Places,time,873,U+23F2,NEGATIVE,0.6823641657829285
🕰,mantelpiece clock,clock | mantelpiece clock,Travel & Places,time,874,U+1F570,NEGATIVE,0.7358058094978333
🕛,twelve o’clock,00 | 12 | 12:00 | clock | o’clock | twelve,Travel & Places,time,875,U+1F55B,POSITIVE,0.8878839015960693
🕧,twelve-thirty,12 | 12:30 | clock | thirty | twelve | twelve-thirty,Travel & Places,time,876,U+1F567,NEGATIVE,0.6049810647964478
🕐,one o’clock,00 | 1 | 1:00 | clock | o’clock | one,Travel & Places,time,877,U+1F550,POSITIVE,0.7192613482475281
🕜,one-thirty,1 | 1:30 | clock | one | one-thirty | thirty,Travel & Places,time,878,U+1F55C,NEGATIVE,0.9454497694969177
🕑,two o’clock,00 | 2 | 2:00 | clock | o’clock | two,Travel & Places,time,879,U+1F551,POSITIVE,0.7795761823654175
🕝,two-thirty,2 | 2:30 | clock | thirty | two | two-thirty,Travel & Places,time,880,U+1F55D,NEGATIVE,0.9450884461402893
🕒,three o’clock,00 | 3 | 3:00 | clock | o’clock | three,Travel & Places,time,881,U+1F552,POSITIVE,0.938299298286438
🕞,three-thirty,3 | 3:30 | clock | thirty | three | three-thirty,Travel & Places,time,882,U+1F55E,NEGATIVE,0.72291499376297
🕓,four o’clock,00 | 4 | 4:00 | clock | four | o’clock,Travel & Places,time,883,U+1F553,POSITIVE,0.7696265578269958
🕟,four-thirty,4 | 4:30 | clock | four | four-thirty | thirty,Travel & Places,time,884,U+1F55F,NEGATIVE,0.6580847501754761
🕔,five o’clock,00 | 5 | 5:00 | clock | five | o’clock,Travel & Places,time,885,U+1F554,POSITIVE,0.9045833945274353
🕠,five-thirty,5 | 5:30 | clock | five | five-thirty | thirty,Travel & Places,time,886,U+1F560,NEGATIVE,0.5184674859046936
🕕,six o’clock,00 | 6 | 6:00 | clock | o’clock | six,Travel & Places,time,887,U+1F555,POSITIVE,0.9771603345870972
🕡,six-thirty,6 | 6:30 | clock | six | six-thirty | thirty,Travel & Places,time,888,U+1F561,NEGATIVE,0.6018416881561279
🕖,seven o’clock,00 | 7 | 7:00 | clock | o’clock | seven,Travel & Places,time,889,U+1F556,POSITIVE,0.962252676486969
🕢,seven-thirty,7 | 7:30 | clock | seven | seven-thirty | thirty,Travel & Places,time,890,U+1F562,NEGATIVE,0.6005123257637024
🕗,eight o’clock,00 | 8 | 8:00 | clock | eight | o’clock,Travel & Places,time,891,U+1F557,POSITIVE,0.7215952277183533
🕣,eight-thirty,8 | 8:30 | clock | eight | eight-thirty | thirty,Travel & Places,time,892,U+1F563,NEGATIVE,0.5406064987182617
🕘,nine o’clock,00 | 9 | 9:00 | clock | nine | o’clock,Travel & Places,time,893,U+1F558,POSITIVE,0.7319121956825256
🕤,nine-thirty,9 | 9:30 | clock | nine | nine-thirty | thirty,Travel & Places,time,894,U+1F564,POSITIVE,0.5116199851036072
🕙,ten o’clock,00 | 10 | 10:00 | clock | o’clock | ten,Travel & Places,time,895,U+1F559,POSITIVE,0.921548068523407
🕥,ten-thirty,10 | 10:30 | clock | ten | ten-thirty | thirty,Travel & Places,time,896,U+1F565,NEGATIVE,0.7285146713256836
🕚,eleven o’clock,00 | 11 | 11:00 | clock | eleven | o’clock,Travel & Places,time,897,U+1F55A,POSITIVE,0.5386872291564941
🕦,eleven-thirty,11 | 11:30 | clock | eleven | eleven-thirty | thirty,Travel & Places,time,898,U+1F566,POSITIVE,0.5427557229995728
🌑,new moon,dark | moon | new moon,Travel & Places,sky & weather,899,U+1F311,POSITIVE,0.9594258069992065
🌒,waxing crescent moon,crescent | moon | waxing,Travel & Places,sky & weather,900,U+1F312,POSITIVE,0.8560787439346313
🌓,first quarter moon,first quarter moon | moon | quarter,Travel & Places,sky & weather,901,U+1F313,NEGATIVE,0.859118640422821
🌔,waxing gibbous moon,gibbous | moon | waxing,Travel & Places,sky & weather,902,U+1F314,POSITIVE,0.818972647190094
🌕,full moon,full | moon,Travel & Places,sky & weather,903,U+1F315,POSITIVE,0.8788312673568726
🌖,waning gibbous moon,gibbous | moon | waning,Travel & Places,sky & weather,904,U+1F316,NEGATIVE,0.9995668530464172
🌗,last quarter moon,last quarter moon | moon | quarter,Travel & Places,sky & weather,905,U+1F317,NEGATIVE,0.8842989802360535
🌘,waning crescent moon,crescent | moon | waning,Travel & Places,sky & weather,906,U+1F318,NEGATIVE,0.9995763897895813
🌙,crescent moon,crescent | moon,Travel & Places,sky & weather,907,U+1F319,POSITIVE,0.7328159213066101
🌚,new moon face,face | moon | new moon face,Travel & Places,sky & weather,908,U+1F31A,POSITIVE,0.9993627667427063
🌛,first quarter moon face,face | first quarter moon face | moon | quarter,Travel & Places,sky & weather,909,U+1F31B,NEGATIVE,0.9746319055557251
🌜,last quarter moon face,face | last quarter moon face | moon | quarter,Travel & Places,sky & weather,910,U+1F31C,NEGATIVE,0.9763571619987488
🌡,thermometer,thermometer | weather,Travel & Places,sky & weather,911,U+1F321,POSITIVE,0.5945703983306885
☀,sun,bright | rays | sun | sunny,Travel & Places,sky & weather,912,U+2600,POSITIVE,0.9996080994606018
🌝,full moon face,bright | face | full | moon,Travel & Places,sky & weather,913,U+1F31D,POSITIVE,0.9993695616722107
🌞,sun with face,bright | face | sun | sun with face,Travel & Places,sky & weather,914,U+1F31E,POSITIVE,0.999417781829834
🪐,ringed planet,ringed planet | saturn | saturnine,Travel & Places,sky & weather,915,U+1FA90,POSITIVE,0.7930347919464111
⭐,star,star,Travel & Places,sky & weather,916,U+2B50,POSITIVE,0.9994539618492126
🌟,glowing star,glittery | glow | glowing star | shining | sparkle | star,Travel & Places,sky & weather,917,U+1F31F,POSITIVE,0.9998862743377686
🌠,shooting star,falling | shooting | star,Travel & Places,sky & weather,918,U+1F320,NEGATIVE,0.9997981190681458
🌌,milky way,milky way | space,Travel & Places,sky & weather,919,U+1F30C,POSITIVE,0.9967848062515259
☁,cloud,cloud | weather,Travel & Places,sky & weather,920,U+2601,NEGATIVE,0.5560322403907776
⛅,sun behind cloud,cloud | sun | sun behind cloud,Travel & Places,sky & weather,921,U+26C5,NEGATIVE,0.6586984395980835
⛈,cloud with lightning and rain,cloud | cloud with lightning and rain | rain | thunder,Travel & Places,sky & weather,922,U+26C8,POSITIVE,0.9956270456314087
🌤,sun behind small cloud,cloud | sun | sun behind small cloud,Travel & Places,sky & weather,923,U+1F324,NEGATIVE,0.8531193137168884
🌥,sun behind large cloud,cloud | sun | sun behind large cloud,Travel & Places,sky & weather,924,U+1F325,POSITIVE,0.6902603507041931
🌦,sun behind rain cloud,cloud | rain | sun | sun behind rain cloud,Travel & Places,sky & weather,925,U+1F326,POSITIVE,0.8568552136421204
🌧,cloud with rain,cloud | cloud with rain | rain,Travel & Places,sky & weather,926,U+1F327,POSITIVE,0.7906206250190735
🌨,cloud with snow,cloud | cloud with snow | cold | snow,Travel & Places,sky & weather,927,U+1F328,NEGATIVE,0.9632401466369629
🌩,cloud with lightning,cloud | cloud with lightning | lightning,Travel & Places,sky & weather,928,U+1F329,POSITIVE,0.9903072118759155
🌪,tornado,cloud | tornado | whirlwind,Travel & Places,sky & weather,929,U+1F32A,POSITIVE,0.9796749949455261
🌫,fog,cloud | fog,Travel & Places,sky & weather,930,U+1F32B,NEGATIVE,0.9936782717704773
🌬,wind face,blow | cloud | face | wind,Travel & Places,sky & weather,931,U+1F32C,NEGATIVE,0.7382352948188782
🌀,cyclone,cyclone | dizzy | hurricane | twister | typhoon,Travel & Places,sky & weather,932,U+1F300,POSITIVE,0.9746035933494568
🌈,rainbow,rain | rainbow,Travel & Places,sky & weather,933,U+1F308,POSITIVE,0.9596338868141174
🌂,closed umbrella,closed umbrella | clothing | rain | umbrella,Travel & Places,sky & weather,934,U+1F302,POSITIVE,0.9409681558609009
☂,umbrella,clothing | rain | umbrella,Travel & Places,sky & weather,935,U+2602,POSITIVE,0.9598429799079895
☔,umbrella with rain drops,clothing | drop | rain | umbrella | umbrella with rain drops,Travel & Places,sky & weather,936,U+2614,NEGATIVE,0.7849779725074768
⛱,umbrella on ground,rain | sun | umbrella | umbrella on ground,Travel & Places,sky & weather,937,U+26F1,POSITIVE,0.9733479022979736
⚡,high voltage,danger | electric | high voltage | lightning | voltage | zap,Travel & Places,sky & weather,938,U+26A1,POSITIVE,0.95917809009552
❄,snowflake,cold | snow | snowflake,Travel & Places,sky & weather,939,U+2744,NEGATIVE,0.7671613693237305
☃,snowman,cold | snow | snowman,Travel & Places,sky & weather,940,U+2603,POSITIVE,0.7442111372947693
⛄,snowman without snow,cold | snow | snowman | snowman without snow,Travel & Places,sky & weather,941,U+26C4,POSITIVE,0.8838547468185425
☄,comet,comet | space,Travel & Places,sky & weather,942,U+2604,POSITIVE,0.9263870716094971
🔥,fire,fire | flame | tool,Travel & Places,sky & weather,943,U+1F525,POSITIVE,0.9920576214790344
💧,droplet,cold | comic | drop | droplet | sweat,Travel & Places,sky & weather,944,U+1F4A7,NEGATIVE,0.8637909889221191
🌊,water wave,ocean | water | wave,Travel & Places,sky & weather,945,U+1F30A,POSITIVE,0.9976422190666199
🎃,jack-o-lantern,celebration | halloween | jack | jack-o-lantern | lantern,Activities,event,946,U+1F383,POSITIVE,0.999914288520813
🎄,Christmas tree,celebration | Christmas | tree,Activities,event,947,U+1F384,POSITIVE,0.9972785115242004
🎆,fireworks,celebration | fireworks,Activities,event,948,U+1F386,POSITIVE,0.999755322933197
🎇,sparkler,celebration | fireworks | sparkle | sparkler,Activities,event,949,U+1F387,POSITIVE,0.9998140931129456
🧨,firecracker,dynamite | explosive | firecracker | fireworks,Activities,event,950,U+1F9E8,POSITIVE,0.9963271021842957
✨,sparkles,* | sparkle | sparkles | star,Activities,event,951,U+2728,POSITIVE,0.9997630715370178
🎈,balloon,balloon | celebration,Activities,event,952,U+1F388,POSITIVE,0.9968492388725281
🎉,party popper,celebration | party | popper | tada,Activities,event,953,U+1F389,POSITIVE,0.999535322189331
🎊,confetti ball,ball | celebration | confetti,Activities,event,954,U+1F38A,POSITIVE,0.999751627445221
🎋,tanabata tree,banner | celebration | Japanese | tanabata tree | tree,Activities,event,955,U+1F38B,POSITIVE,0.9991956353187561
🎍,pine decoration,bamboo | celebration | Japanese | pine | pine decoration,Activities,event,956,U+1F38D,POSITIVE,0.9950130581855774
🎎,Japanese dolls,celebration | doll | festival | Japanese | Japanese dolls,Activities,event,957,U+1F38E,POSITIVE,0.9994240999221802
🎏,carp streamer,carp | celebration | streamer,Activities,event,958,U+1F38F,POSITIVE,0.9993672966957092
🎐,wind chime,bell | celebration | chime | wind,Activities,event,959,U+1F390,POSITIVE,0.999512791633606
🎑,moon viewing ceremony,celebration | ceremony | moon | moon viewing ceremony,Activities,event,960,U+1F391,POSITIVE,0.9993313550949097
🧧,red envelope,gift | good luck | hóngbāo | lai see | money | red envelope,Activities,event,961,U+1F9E7,POSITIVE,0.9850785732269287
🎀,ribbon,celebration | ribbon,Activities,event,962,U+1F380,POSITIVE,0.9994730353355408
🎁,wrapped gift,box | celebration | gift | present | wrapped,Activities,event,963,U+1F381,POSITIVE,0.9991814494132996
🎗,reminder ribbon,celebration | reminder | ribbon,Activities,event,964,U+1F397,POSITIVE,0.9992266893386841
🎟,admission tickets,admission | admission tickets | ticket,Activities,event,965,U+1F39F,POSITIVE,0.9903414249420166
🎫,ticket,admission | ticket,Activities,event,966,U+1F3AB,POSITIVE,0.9835541248321533
🎖,military medal,celebration | medal | military,Activities,award-medal,967,U+1F396,POSITIVE,0.998795747756958
🏆,trophy,prize | trophy,Activities,award-medal,968,U+1F3C6,POSITIVE,0.9850487112998962
🏅,sports medal,medal | sports medal,Activities,award-medal,969,U+1F3C5,POSITIVE,0.9961185455322266
🥇,1st place medal,1st place medal | first | gold | medal,Activities,award-medal,970,U+1F947,POSITIVE,0.991316556930542
🥈,2nd place medal,2nd place medal | medal | second | silver,Activities,award-medal,971,U+1F948,POSITIVE,0.7108737230300903
🥉,3rd place medal,3rd place medal | bronze | medal | third,Activities,award-medal,972,U+1F949,POSITIVE,0.9381632208824158
⚽,soccer ball,ball | football | soccer,Activities,sport,973,U+26BD,POSITIVE,0.9916987419128418
⚾,baseball,ball | baseball,Activities,sport,974,U+26BE,POSITIVE,0.94528728723526
🥎,softball,ball | glove | softball | underarm,Activities,sport,975,U+1F94E,POSITIVE,0.9552778601646423
🏀,basketball,ball | basketball | hoop,Activities,sport,976,U+1F3C0,POSITIVE,0.9918050765991211
🏐,volleyball,ball | game | volleyball,Activities,sport,977,U+1F3D0,POSITIVE,0.9808188080787659
🏈,american football,american | ball | football,Activities,sport,978,U+1F3C8,POSITIVE,0.9441748261451721
🏉,rugby football,ball | football | rugby,Activities,sport,979,U+1F3C9,POSITIVE,0.9944778680801392
🎾,tennis,ball | racquet | tennis,Activities,sport,980,U+1F3BE,POSITIVE,0.9983001351356506
🥏,flying disc,flying disc | ultimate,Activities,sport,981,U+1F94F,POSITIVE,0.9999314546585083
🎳,bowling,ball | bowling | game,Activities,sport,982,U+1F3B3,POSITIVE,0.9956451654434204
🏏,cricket game,ball | bat | cricket game | game,Activities,sport,983,U+1F3CF,POSITIVE,0.9770432710647583
🏑,field hockey,ball | field | game | hockey | stick,Activities,sport,984,U+1F3D1,POSITIVE,0.9407296776771545
🏒,ice hockey,game | hockey | ice | puck | stick,Activities,sport,985,U+1F3D2,POSITIVE,0.9945013523101807
🥍,lacrosse,ball | goal | lacrosse | stick,Activities,sport,986,U+1F94D,POSITIVE,0.5242161750793457
🏓,ping pong,ball | bat | game | paddle | ping pong | table tennis,Activities,sport,987,U+1F3D3,POSITIVE,0.9925678968429565
🏸,badminton,badminton | birdie | game | racquet | shuttlecock,Activities,sport,988,U+1F3F8,POSITIVE,0.9936209321022034
🥊,boxing glove,boxing | glove,Activities,sport,989,U+1F94A,POSITIVE,0.9982049465179443
🥋,martial arts uniform,judo | karate | martial arts | martial arts uniform | taekwondo | uniform,Activities,sport,990,U+1F94B,POSITIVE,0.9929443001747131
🥅,goal net,goal | net,Activities,sport,991,U+1F945,POSITIVE,0.9991346001625061
⛳,flag in hole,flag in hole | golf | hole,Activities,sport,992,U+26F3,NEGATIVE,0.9962108135223389
⛸,ice skate,ice | skate,Activities,sport,993,U+26F8,POSITIVE,0.9925771355628967
🎣,fishing pole,fish | fishing pole | pole,Activities,sport,994,U+1F3A3,POSITIVE,0.9873164892196655
🤿,diving mask,diving | diving mask | scuba | snorkeling,Activities,sport,995,U+1F93F,POSITIVE,0.9949277639389038
🎽,running shirt,athletics | running | sash | shirt,Activities,sport,996,U+1F3BD,POSITIVE,0.9970200657844543
🎿,skis,ski | skis | snow,Activities,sport,997,U+1F3BF,POSITIVE,0.9970631003379822
🛷,sled,sled | sledge | sleigh | luge | toboggan,Activities,sport,998,U+1F6F7,NEGATIVE,0.9674638509750366
🥌,curling stone,curling stone | game | rock,Activities,sport,999,U+1F94C,POSITIVE,0.9975404739379883
🎯,direct hit,bullseye | dart | direct hit | game | hit | target,Activities,game,1000,U+1F3AF,POSITIVE,0.9208427667617798
🪀,yo-yo,fluctuate | toy | yo-yo,Activities,game,1001,U+1FA80,NEGATIVE,0.9972345232963562
🪁,kite,fly | kite | soar,Activities,game,1002,U+1FA81,POSITIVE,0.9978095889091492
🎱,pool 8 ball,8 | ball | billiard | eight | game | pool 8 ball,Activities,game,1003,U+1F3B1,POSITIVE,0.8597411513328552
🔮,crystal ball,ball | crystal | fairy tale | fantasy | fortune | tool,Activities,game,1004,U+1F52E,POSITIVE,0.9996474981307983
🧿,nazar amulet,bead | charm | evil-eye | nazar | nazar amulet | talisman,Activities,game,1005,U+1F9FF,POSITIVE,0.9992840886116028
🎮,video game,controller | game | video game,Activities,game,1006,U+1F3AE,POSITIVE,0.7140272855758667
🕹,joystick,game | joystick | video game,Activities,game,1007,U+1F579,POSITIVE,0.975189208984375
🎰,slot machine,game | slot | slot machine,Activities,game,1008,U+1F3B0,NEGATIVE,0.6106905937194824
🎲,game die,dice | die | game,Activities,game,1009,U+1F3B2,NEGATIVE,0.996563732624054
🧩,puzzle piece,clue | interlocking | jigsaw | piece | puzzle,Activities,game,1010,U+1F9E9,POSITIVE,0.8026157021522522
🧸,teddy bear,plaything | plush | stuffed | teddy bear | toy,Activities,game,1011,U+1F9F8,POSITIVE,0.979017436504364
♠,spade suit,card | game | spade suit,Activities,game,1012,U+2660,POSITIVE,0.9382282495498657
♥,heart suit,card | game | heart suit,Activities,game,1013,U+2665,POSITIVE,0.9989836812019348
♦,diamond suit,card | diamond suit | game,Activities,game,1014,U+2666,POSITIVE,0.9934467673301697
♣,club suit,card | club suit | game,Activities,game,1015,U+2663,POSITIVE,0.8843579888343811
♟,chess pawn,chess | chess pawn | dupe | expendable,Activities,game,1016,U+265F,NEGATIVE,0.9899705052375793
🃏,joker,card | game | joker | wildcard,Activities,game,1017,U+1F0CF,POSITIVE,0.9480903744697571
🀄,mahjong red dragon,game | mahjong | mahjong red dragon | red,Activities,game,1018,U+1F004,POSITIVE,0.9902068972587585
🎴,flower playing cards,card | flower | flower playing cards | game | Japanese | playing,Activities,game,1019,U+1F3B4,POSITIVE,0.9910550117492676
🎭,performing arts,art | mask | performing | performing arts | theater | theatre,Activities,arts & crafts,1020,U+1F3AD,POSITIVE,0.9971532821655273
🖼,framed picture,art | frame | framed picture | museum | painting | picture,Activities,arts & crafts,1021,U+1F5BC,POSITIVE,0.9995824694633484
🎨,artist palette,art | artist palette | museum | painting | palette,Activities,arts & crafts,1022,U+1F3A8,POSITIVE,0.9999338388442993
🧵,thread,needle | sewing | spool | string | thread,Activities,arts & crafts,1023,U+1F9F5,POSITIVE,0.9932277798652649
🧶,yarn,ball | crochet | knit | yarn,Activities,arts & crafts,1024,U+1F9F6,POSITIVE,0.9783647656440735
👓,glasses,clothing | eye | eyeglasses | eyewear | glasses,Objects,clothing,1025,U+1F453,POSITIVE,0.9965999722480774
🕶,sunglasses,dark | eye | eyewear | glasses | sunglasses,Objects,clothing,1026,U+1F576,POSITIVE,0.9941131472587585
🥽,goggles,eye protection | goggles | swimming | welding,Objects,clothing,1027,U+1F97D,POSITIVE,0.9997614026069641
🥼,lab coat,doctor | experiment | lab coat | scientist,Objects,clothing,1028,U+1F97C,POSITIVE,0.9943259358406067
🦺,safety vest,emergency | safety | vest,Objects,clothing,1029,U+1F9BA,POSITIVE,0.997060239315033
👔,necktie,clothing | necktie | tie,Objects,clothing,1030,U+1F454,POSITIVE,0.910816490650177
👕,t-shirt,clothing | shirt | t-shirt | tshirt,Objects,clothing,1031,U+1F455,NEGATIVE,0.9858081340789795
👖,jeans,clothing | jeans | pants | trousers,Objects,clothing,1032,U+1F456,POSITIVE,0.6478045582771301
🧣,scarf,neck | scarf,Objects,clothing,1033,U+1F9E3,NEGATIVE,0.8450794816017151
🧤,gloves,gloves | hand,Objects,clothing,1034,U+1F9E4,POSITIVE,0.7298150658607483
🧥,coat,coat | jacket,Objects,clothing,1035,U+1F9E5,POSITIVE,0.804944634437561
🧦,socks,socks | stocking,Objects,clothing,1036,U+1F9E6,POSITIVE,0.9489386081695557
👗,dress,clothing | dress,Objects,clothing,1037,U+1F457,POSITIVE,0.9268359541893005
👘,kimono,clothing | kimono,Objects,clothing,1038,U+1F458,POSITIVE,0.9763262867927551
🥻,sari,clothing | dress | sari,Objects,clothing,1039,U+1F97B,POSITIVE,0.655894935131073
🩱,one-piece swimsuit,bathing suit | one-piece swimsuit,Objects,clothing,1040,U+1FA71,NEGATIVE,0.9417480826377869
🩲,briefs,bathing suit | briefs | one-piece | swimsuit | underwear,Objects,clothing,1041,U+1FA72,POSITIVE,0.7592421174049377
🩳,shorts,bathing suit | pants | shorts | underwear,Objects,clothing,1042,U+1FA73,POSITIVE,0.9317652583122253
👙,bikini,bikini | clothing | swim,Objects,clothing,1043,U+1F459,POSITIVE,0.8830096125602722
👚,woman’s clothes,clothing | woman | woman’s clothes,Objects,clothing,1044,U+1F45A,POSITIVE,0.9805989265441895
👛,purse,clothing | coin | purse,Objects,clothing,1045,U+1F45B,POSITIVE,0.6296490430831909
👜,handbag,bag | clothing | handbag | purse,Objects,clothing,1046,U+1F45C,POSITIVE,0.942647397518158
👝,clutch bag,bag | clothing | clutch bag | pouch,Objects,clothing,1047,U+1F45D,POSITIVE,0.7988721132278442
🛍,shopping bags,bag | hotel | shopping | shopping bags,Objects,clothing,1048,U+1F6CD,POSITIVE,0.9787349700927734
🎒,backpack,backpack | bag | rucksack | satchel | school,Objects,clothing,1049,U+1F392,NEGATIVE,0.6913092732429504
👞,man’s shoe,clothing | man | man’s shoe | shoe,Objects,clothing,1050,U+1F45E,POSITIVE,0.9799714088439941
👟,running shoe,athletic | clothing | running shoe | shoe | sneaker,Objects,clothing,1051,U+1F45F,POSITIVE,0.9979227185249329
🥾,hiking boot,backpacking | boot | camping | hiking,Objects,clothing,1052,U+1F97E,POSITIVE,0.9975510239601135
🥿,flat shoe,ballet flat | flat shoe | slip-on | slipper,Objects,clothing,1053,U+1F97F,NEGATIVE,0.9999524354934692
👠,high-heeled shoe,clothing | heel | high-heeled shoe | shoe | woman,Objects,clothing,1054,U+1F460,POSITIVE,0.958433985710144
👡,woman’s sandal,clothing | sandal | shoe | woman | woman’s sandal,Objects,clothing,1055,U+1F461,POSITIVE,0.8762168884277344
🩰,ballet shoes,ballet | ballet shoes | dance,Objects,clothing,1056,U+1FA70,POSITIVE,0.9985076785087585
👢,woman’s boot,boot | clothing | shoe | woman | woman’s boot,Objects,clothing,1057,U+1F462,POSITIVE,0.9658111929893494
👑,crown,clothing | crown | king | queen,Objects,clothing,1058,U+1F451,POSITIVE,0.9944460391998291
👒,woman’s hat,clothing | hat | woman | woman’s hat,Objects,clothing,1059,U+1F452,POSITIVE,0.9418536424636841
🎩,top hat,clothing | hat | top | tophat,Objects,clothing,1060,U+1F3A9,POSITIVE,0.9927729964256287
🎓,graduation cap,cap | celebration | clothing | graduation | hat,Objects,clothing,1061,U+1F393,POSITIVE,0.9988701939582825
🧢,billed cap,baseball cap | billed cap,Objects,clothing,1062,U+1F9E2,POSITIVE,0.7659311890602112
⛑,rescue worker’s helmet,aid | cross | face | hat | helmet | rescue worker’s helmet,Objects,clothing,1063,U+26D1,POSITIVE,0.9912664294242859
📿,prayer beads,beads | clothing | necklace | prayer | religion,Objects,clothing,1064,U+1F4FF,POSITIVE,0.9745004177093506
💄,lipstick,cosmetics | lipstick | makeup,Objects,clothing,1065,U+1F484,POSITIVE,0.9932743310928345
💍,ring,diamond | ring,Objects,clothing,1066,U+1F48D,POSITIVE,0.9986666440963745
💎,gem stone,diamond | gem | gem stone | jewel,Objects,clothing,1067,U+1F48E,POSITIVE,0.999832272529602
🔇,muted speaker,mute | muted speaker | quiet | silent | speaker,Objects,sound,1068,U+1F507,NEGATIVE,0.9980840682983398
🔈,speaker low volume,soft | speaker low volume,Objects,sound,1069,U+1F508,NEGATIVE,0.9996321201324463
🔉,speaker medium volume,medium | speaker medium volume,Objects,sound,1070,U+1F509,NEGATIVE,0.9515584111213684
🔊,speaker high volume,loud | speaker high volume,Objects,sound,1071,U+1F50A,POSITIVE,0.9604129791259766
📢,loudspeaker,loud | loudspeaker | public address,Objects,sound,1072,U+1F4E2,POSITIVE,0.9848916530609131
📣,megaphone,cheering | megaphone,Objects,sound,1073,U+1F4E3,POSITIVE,0.9948638081550598
📯,postal horn,horn | post | postal,Objects,sound,1074,U+1F4EF,NEGATIVE,0.8028593063354492
🔔,bell,bell,Objects,sound,1075,U+1F514,POSITIVE,0.8963798880577087
